FOLDS,SEED,DATA,CORRECTLY CLASSIFIED,INCORRECTLY CLASSIFIED

10,3,NOT_NORMALIZED,33.51862145636465,66.48137854363536
10,5,NOT_NORMALIZED,33.463035019455255,66.53696498054475
10,7,NOT_NORMALIZED,33.57420789327404,66.42579210672596
10,9,NOT_NORMALIZED,33.57420789327404,66.42579210672596
10,11,NOT_NORMALIZED,33.51862145636465,66.48137854363536
10,13,NOT_NORMALIZED,33.51862145636465,66.48137854363536
10,15,NOT_NORMALIZED,33.51862145636465,66.48137854363536
10,17,NOT_NORMALIZED,33.62979433018344,66.37020566981657
10,19,NOT_NORMALIZED,33.57420789327404,66.42579210672596
10,21,NOT_NORMALIZED,33.62979433018344,66.37020566981657
10,23,NOT_NORMALIZED,33.68538076709283,66.31461923290718
10,25,NOT_NORMALIZED,33.463035019455255,66.53696498054475
10,27,NOT_NORMALIZED,33.57420789327404,66.42579210672596
10,29,NOT_NORMALIZED,33.57420789327404,66.42579210672596
10,31,NOT_NORMALIZED,33.62979433018344,66.37020566981657
10,33,NOT_NORMALIZED,33.51862145636465,66.48137854363536
10,35,NOT_NORMALIZED,33.51862145636465,66.48137854363536
10,37,NOT_NORMALIZED,33.463035019455255,66.53696498054475
10,39,NOT_NORMALIZED,33.62979433018344,66.37020566981657
10,41,NOT_NORMALIZED,33.57420789327404,66.42579210672596
10,43,NOT_NORMALIZED,33.62979433018344,66.37020566981657
10,45,NOT_NORMALIZED,33.62979433018344,66.37020566981657
10,47,NOT_NORMALIZED,33.57420789327404,66.42579210672596
10,49,NOT_NORMALIZED,33.62979433018344,66.37020566981657
10,51,NOT_NORMALIZED,33.740967204002224,66.25903279599778
10,53,NOT_NORMALIZED,33.57420789327404,66.42579210672596
10,55,NOT_NORMALIZED,33.68538076709283,66.31461923290718
