TRAINING TIME,HIDDEN LAYERS,LEARNING RATE,FOLDS,SEED,DATA,CORRECTLY CLASSIFIED,INCORRECTLY CLASSIFIED

100,90,0.1,2,10,NOT_NORMALIZED,90.27237354085604,9.727626459143968
100,90,0.01,2,10,NOT_NORMALIZED,89.71650917176208,10.28349082823791
100,90,0.001,2,10,NOT_NORMALIZED,89.38299055030572,10.617009449694274
100,100,0.1,2,10,NOT_NORMALIZED,90.27237354085604,9.727626459143968
100,100,0.01,2,10,NOT_NORMALIZED,89.71650917176208,10.28349082823791
100,100,0.001,2,10,NOT_NORMALIZED,89.38299055030572,10.617009449694274
100,110,0.1,2,10,NOT_NORMALIZED,90.27237354085604,9.727626459143968
100,110,0.01,2,10,NOT_NORMALIZED,89.71650917176208,10.28349082823791
100,110,0.001,2,10,NOT_NORMALIZED,89.38299055030572,10.617009449694274
1000,90,0.1,2,10,NOT_NORMALIZED,93.94107837687604,6.0589216231239575
